T06,"Ratio of girls to boys in primary, lower secondary and upper secondary education",,,,,
410,Republic of Korea,2010,Ratio of girls to boys in lower secondary education,1.00,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
410,Republic of Korea,2015,Ratio of girls to boys in lower secondary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
410,Republic of Korea,2019,Ratio of girls to boys in lower secondary education,1.00,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
410,Republic of Korea,2020,Ratio of girls to boys in lower secondary education,1.00,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
410,Republic of Korea,1995,Ratio of girls to boys in upper secondary education,1.00,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
410,Republic of Korea,2005,Ratio of girls to boys in upper secondary education,1.03,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
410,Republic of Korea,2010,Ratio of girls to boys in upper secondary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
410,Republic of Korea,2015,Ratio of girls to boys in upper secondary education,1.00,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
410,Republic of Korea,2019,Ratio of girls to boys in upper secondary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
410,Republic of Korea,2020,Ratio of girls to boys in upper secondary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
498,Republic of Moldova,2015,Ratio of girls to boys in primary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
498,Republic of Moldova,2019,Ratio of girls to boys in primary education,0.95,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
498,Republic of Moldova,2020,Ratio of girls to boys in primary education,0.98,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
498,Republic of Moldova,2021,Ratio of girls to boys in primary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
498,Republic of Moldova,2015,Ratio of girls to boys in lower secondary education,1.00,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
498,Republic of Moldova,2019,Ratio of girls to boys in lower secondary education,0.98,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
498,Republic of Moldova,2020,Ratio of girls to boys in lower secondary education,0.98,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
498,Republic of Moldova,2021,Ratio of girls to boys in lower secondary education,0.99,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
498,Republic of Moldova,2015,Ratio of girls to boys in upper secondary education,1.04,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
498,Republic of Moldova,2019,Ratio of girls to boys in upper secondary education,1.00,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
498,Republic of Moldova,2020,Ratio of girls to boys in upper secondary education,1.03,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
498,Republic of Moldova,2021,Ratio of girls to boys in upper secondary education,1.00,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
642,Romania,1995,Ratio of girls to boys in primary education,1.00,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
642,Romania,2005,Ratio of girls to boys in primary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
642,Romania,2010,Ratio of girls to boys in primary education,0.98,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
642,Romania,2015,Ratio of girls to boys in primary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
642,Romania,2019,Ratio of girls to boys in primary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
642,Romania,2020,Ratio of girls to boys in primary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
642,Romania,2005,Ratio of girls to boys in lower secondary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
642,Romania,2010,Ratio of girls to boys in lower secondary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
642,Romania,2015,Ratio of girls to boys in lower secondary education,0.98,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
642,Romania,2019,Ratio of girls to boys in lower secondary education,0.98,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
642,Romania,2020,Ratio of girls to boys in lower secondary education,0.98,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
642,Romania,2005,Ratio of girls to boys in upper secondary education,1.05,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
642,Romania,2010,Ratio of girls to boys in upper secondary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
642,Romania,2015,Ratio of girls to boys in upper secondary education,1.02,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
642,Romania,2019,Ratio of girls to boys in upper secondary education,1.03,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
642,Romania,2020,Ratio of girls to boys in upper secondary education,1.03,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
643,Russian Federation,1995,Ratio of girls to boys in primary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
643,Russian Federation,2005,Ratio of girls to boys in primary education,1.00,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
643,Russian Federation,2015,Ratio of girls to boys in primary education,1.01,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
643,Russian Federation,2019,Ratio of girls to boys in primary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
643,Russian Federation,2005,Ratio of girls to boys in lower secondary education,1.01,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
643,Russian Federation,2015,Ratio of girls to boys in lower secondary education,1.01,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
643,Russian Federation,2019,Ratio of girls to boys in lower secondary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
643,Russian Federation,2005,Ratio of girls to boys in upper secondary education,0.96,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
643,Russian Federation,2015,Ratio of girls to boys in upper secondary education,0.90,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
643,Russian Federation,2019,Ratio of girls to boys in upper secondary education,0.93,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
646,Rwanda,2005,Ratio of girls to boys in primary education,1.01,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
646,Rwanda,2010,Ratio of girls to boys in primary education,1.03,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
646,Rwanda,2015,Ratio of girls to boys in primary education,1.01,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
646,Rwanda,2019,Ratio of girls to boys in primary education,0.98,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
646,Rwanda,2021,Ratio of girls to boys in primary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
646,Rwanda,2005,Ratio of girls to boys in lower secondary education,0.89,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
646,Rwanda,2010,Ratio of girls to boys in lower secondary education,1.05,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
646,Rwanda,2015,Ratio of girls to boys in lower secondary education,1.14,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
646,Rwanda,2019,Ratio of girls to boys in lower secondary education,1.18,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
646,Rwanda,2021,Ratio of girls to boys in lower secondary education,1.17,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
646,Rwanda,2005,Ratio of girls to boys in upper secondary education,0.92,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
646,Rwanda,2010,Ratio of girls to boys in upper secondary education,0.89,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
646,Rwanda,2015,Ratio of girls to boys in upper secondary education,1.01,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
646,Rwanda,2019,Ratio of girls to boys in upper secondary education,1.05,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
646,Rwanda,2021,Ratio of girls to boys in upper secondary education,1.10,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
659,Saint Kitts and Nevis,1995,Ratio of girls to boys in primary education,1.03,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
659,Saint Kitts and Nevis,2005,Ratio of girls to boys in primary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
659,Saint Kitts and Nevis,2010,Ratio of girls to boys in primary education,0.95,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
659,Saint Kitts and Nevis,2015,Ratio of girls to boys in primary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
659,Saint Kitts and Nevis,2019,Ratio of girls to boys in primary education,0.92,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
659,Saint Kitts and Nevis,2021,Ratio of girls to boys in primary education,0.95,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
659,Saint Kitts and Nevis,2005,Ratio of girls to boys in lower secondary education,0.98,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
659,Saint Kitts and Nevis,2010,Ratio of girls to boys in lower secondary education,0.93,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
659,Saint Kitts and Nevis,2015,Ratio of girls to boys in lower secondary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
659,Saint Kitts and Nevis,2021,Ratio of girls to boys in lower secondary education,1.00,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
659,Saint Kitts and Nevis,2005,Ratio of girls to boys in upper secondary education,1.35,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
659,Saint Kitts and Nevis,2010,Ratio of girls to boys in upper secondary education,1.08,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
659,Saint Kitts and Nevis,2015,Ratio of girls to boys in upper secondary education,1.00,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
659,Saint Kitts and Nevis,2021,Ratio of girls to boys in upper secondary education,0.97,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
662,Saint Lucia,2005,Ratio of girls to boys in primary education,0.96,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
662,Saint Lucia,2015,Ratio of girls to boys in primary education,0.97,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
662,Saint Lucia,2019,Ratio of girls to boys in primary education,1.02,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
662,Saint Lucia,2020,Ratio of girls to boys in primary education,1.03,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
662,Saint Lucia,2005,Ratio of girls to boys in lower secondary education,1.16,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
662,Saint Lucia,2010,Ratio of girls to boys in lower secondary education,0.95,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
662,Saint Lucia,2015,Ratio of girls to boys in lower secondary education,0.97,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
662,Saint Lucia,2019,Ratio of girls to boys in lower secondary education,0.96,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
662,Saint Lucia,2020,Ratio of girls to boys in lower secondary education,1.01,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
662,Saint Lucia,2005,Ratio of girls to boys in upper secondary education,1.20,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
662,Saint Lucia,2010,Ratio of girls to boys in upper secondary education,1.05,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
662,Saint Lucia,2015,Ratio of girls to boys in upper secondary education,1.02,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
662,Saint Lucia,2019,Ratio of girls to boys in upper secondary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
662,Saint Lucia,2020,Ratio of girls to boys in upper secondary education,0.94,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
670,Saint Vincent & Grenadines,2005,Ratio of girls to boys in primary education,0.90,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
670,Saint Vincent & Grenadines,2010,Ratio of girls to boys in primary education,0.95,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
670,Saint Vincent & Grenadines,2015,Ratio of girls to boys in primary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
670,Saint Vincent & Grenadines,2019,Ratio of girls to boys in primary education,0.97,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
670,Saint Vincent & Grenadines,2020,Ratio of girls to boys in primary education,0.98,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
670,Saint Vincent & Grenadines,2005,Ratio of girls to boys in lower secondary education,1.17,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
670,Saint Vincent & Grenadines,2010,Ratio of girls to boys in lower secondary education,0.96,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
670,Saint Vincent & Grenadines,2015,Ratio of girls to boys in lower secondary education,0.94,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
670,Saint Vincent & Grenadines,2005,Ratio of girls to boys in upper secondary education,1.47,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
670,Saint Vincent & Grenadines,2010,Ratio of girls to boys in upper secondary education,1.26,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
670,Saint Vincent & Grenadines,2015,Ratio of girls to boys in upper secondary education,1.16,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
882,Samoa,1995,Ratio of girls to boys in primary education,1.03,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
882,Samoa,2005,Ratio of girls to boys in primary education,1.01,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
882,Samoa,2010,Ratio of girls to boys in primary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
882,Samoa,2015,Ratio of girls to boys in primary education,1.00,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
882,Samoa,2019,Ratio of girls to boys in primary education,1.01,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
882,Samoa,2020,Ratio of girls to boys in primary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
882,Samoa,2021,Ratio of girls to boys in primary education,1.00,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
882,Samoa,2005,Ratio of girls to boys in lower secondary education,1.04,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
882,Samoa,2010,Ratio of girls to boys in lower secondary education,0.98,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
882,Samoa,2015,Ratio of girls to boys in lower secondary education,0.96,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
882,Samoa,2019,Ratio of girls to boys in lower secondary education,1.04,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
882,Samoa,2020,Ratio of girls to boys in lower secondary education,1.03,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
882,Samoa,2021,Ratio of girls to boys in lower secondary education,1.03,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
882,Samoa,1995,Ratio of girls to boys in upper secondary education,1.17,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
882,Samoa,2005,Ratio of girls to boys in upper secondary education,1.18,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
882,Samoa,2010,Ratio of girls to boys in upper secondary education,1.24,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
882,Samoa,2015,Ratio of girls to boys in upper secondary education,1.20,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
674,San Marino,2019,Ratio of girls to boys in primary education,1.08,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
674,San Marino,2020,Ratio of girls to boys in primary education,0.98,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
674,San Marino,2021,Ratio of girls to boys in primary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
674,San Marino,2019,Ratio of girls to boys in lower secondary education,0.87,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
674,San Marino,2020,Ratio of girls to boys in lower secondary education,1.00,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
674,San Marino,2021,Ratio of girls to boys in lower secondary education,1.08,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
674,San Marino,2019,Ratio of girls to boys in upper secondary education,0.96,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
674,San Marino,2020,Ratio of girls to boys in upper secondary education,0.81,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
674,San Marino,2021,Ratio of girls to boys in upper secondary education,0.74,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
678,Sao Tome and Principe,2005,Ratio of girls to boys in primary education,0.96,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
678,Sao Tome and Principe,2010,Ratio of girls to boys in primary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
678,Sao Tome and Principe,2015,Ratio of girls to boys in primary education,0.96,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
678,Sao Tome and Principe,2005,Ratio of girls to boys in lower secondary education,1.12,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
678,Sao Tome and Principe,2010,Ratio of girls to boys in lower secondary education,1.07,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
678,Sao Tome and Principe,2015,Ratio of girls to boys in lower secondary education,1.10,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
678,Sao Tome and Principe,2005,Ratio of girls to boys in upper secondary education,0.96,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
678,Sao Tome and Principe,2010,Ratio of girls to boys in upper secondary education,0.78,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
